player_id,fifa_version,overall,potential,age,height_cm,weight_kg,club_team_id,club_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,goals,assists,club_position_mapped,primary_position,has_multiple_positions,primary_position_mapped,years_remaining,log_value_eur,log_wage_eur,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
1055,21,87.0,89.0,0.23278522257020354,0.7987493920959698,0.2469675467077215,5,3.0,Right,2.0,3.0,3.0,67.0,69.0,79.0,77.0,85.0,83.0,75.0,63.0,0,1,9,CDM,0,9,2.0,1.9984078595204948,1.3729177305412428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1120,21,87.0,90.0,0.012263660938488439,-0.4771440577321498,-0.9152249456982433,7,18.0,Right,4.0,4.0,2.0,77.0,83.0,88.0,85.0,68.0,75.0,87.0,77.0,18,11,14,CAM,1,14,4.0,2.1072067815482534,1.5649613164926253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,21,87.0,90.0,0.23278522257020354,0.9405153309657609,1.1508950408012497,6,14.0,Left,3.0,2.0,2.0,63.0,50.0,72.0,68.0,88.0,81.0,58.0,45.0,0,0,2,CB,0,11,3.0,2.025780342472527,1.5861401812049467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1214,21,87.0,89.0,0.23278522257020354,-0.6189099966019409,-1.5608874414793348,5,26.0,Left,2.0,3.0,3.0,83.0,62.0,80.0,80.0,81.0,76.0,90.0,57.0,1,7,6,LB,0,6,3.0,2.0122453424949183,1.3729177305412428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1256,21,87.0,88.0,0.012263660938488439,-1.3277396909508963,-1.5608874414793348,6,20.0,Left,3.0,4.0,2.0,81.0,77.0,83.0,92.0,51.0,67.0,85.0,79.0,2,6,7,RW,1,3,4.0,2.042293363586622,1.7030539538333793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,21,87.0,92.0,-0.869822585588372,-0.33537811886235874,-0.9152249456982433,5,66.0,Right,4.0,3.0,2.0,80.0,66.0,87.0,80.0,80.0,71.0,93.0,56.0,2,7,10,RB,0,10,3.0,2.1551871623715733,1.0860381801945582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
445,21,86.0,86.0,1.114871469097064,-0.05184624112277659,0.5052325450201581,5,14.0,Right,3.0,3.0,2.0,65.0,74.0,84.0,79.0,81.0,82.0,82.0,73.0,1,1,0,CDM,1,9,2.0,1.7259893238427693,1.2877745700334566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
658,21,86.0,86.0,0.8943499074653488,1.365813147575134,0.7634975433325948,7,1.0,Right,3.0,1.0,4.0,,,,,,,17.0,13.0,0,1,5,GK,0,5,2.0,1.5999205272399133,1.3454884134401466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
710,21,86.0,87.0,0.45330678420191867,1.224047208705343,1.0217625416450313,7,6.0,Right,4.0,5.0,4.0,73.0,81.0,86.0,85.0,66.0,85.0,80.0,75.0,3,5,13,CM,1,24,0.0,1.9162245660025752,1.5432322931767297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1044,21,86.0,86.0,1.7764361539922093,-0.4771440577321498,-0.2695624499171517,15,9.0,Right,3.0,3.0,3.0,88.0,85.0,66.0,78.0,55.0,75.0,68.0,92.0,15,10,1,ST,0,1,1.0,1.5586251222930059,1.3994761325093288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
